start,qty_actual,timestamp,machine,material,quality,other,date,version,shift_work,qty_plan,department_id,line_id,process_id,% Plan,ST Plan,ST Actual
0,0,1615019515,1,1,1,1,06-03-21,1,0,1300,1,1,1,0.001,22,0.001
1,3964,1615019521,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3965,1615019550,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3966,1615019596,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3967,1615019620,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3968,1615019627,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3969,1615019691,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3970,1615019721,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3971,1615019753,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3972,1615019778,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3973,1615019805,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3974,1615019815,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3975,1615019860,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3976,1615019882,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3977,1615019899,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3978,1615019966,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3979,1615019990,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3980,1615019998,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3981,1615020024,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3982,1615020033,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3983,1615020088,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3984,1615020095,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3985,1615020146,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3986,1615020178,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3987,1615020186,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3988,1615020217,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3989,1615020239,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3990,1615020277,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3991,1615020284,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3992,1615020330,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3993,1615020349,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3994,1615020405,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3995,1615020421,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3996,1615020453,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3997,1615020492,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3998,1615020523,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,3999,1615020540,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4000,1615020549,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4001,1615020592,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4002,1615020631,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4003,1615020639,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4004,1615020673,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4005,1615020684,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4006,1615020712,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4007,1615020769,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4008,1615020785,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4009,1615020816,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4010,1615020857,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4011,1615020888,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4012,1615020915,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4013,1615020925,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4014,1615020969,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4015,1615020984,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4016,1615021014,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4017,1615021024,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4018,1615021075,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4019,1615021084,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4020,1615021139,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4021,1615021147,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4022,1615021200,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4023,1615021207,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4024,1615021274,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4025,1615021287,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4026,1615021386,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4027,1615021405,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4028,1615021412,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4029,1615021429,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4030,1615021479,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4031,1615021525,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4032,1615021533,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4033,1615021584,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4034,1615021601,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4035,1615021683,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4036,1615021713,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4037,1615021752,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4038,1615021777,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4039,1615021809,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4040,1615021841,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4041,1615021883,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4042,1615021907,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4043,1615021946,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4044,1615021974,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4045,1615022024,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4046,1615022032,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4047,1615022074,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4048,1615022105,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4049,1615022141,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4050,1615022171,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4051,1615022182,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4052,1615022221,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4053,1615022236,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4054,1615022274,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4055,1615022312,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4056,1615022336,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4057,1615022386,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4058,1615022401,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4059,1615022432,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4060,1615022457,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4061,1615022486,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4062,1615022496,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4063,1615022537,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4064,1615022549,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4065,1615022576,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4066,1615022610,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4067,1615022617,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4068,1615022667,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4069,1615022680,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4070,1615022712,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4071,1615022739,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
1,4072,1615022783,1,1,1,1,06-03-21,1,0,1300,1,1,1,0,22,0
